seed,n,d,p,loss,solver,gamma,standardize,varsort_raw,varsort_fit,auroc_change_w,auroc_change_a,max_h,seconds
9,100,12,1,student_t,admm,0.05,True,0.9444444444444444,0.5,0.8375,0.7376760563380281,0.0038813121760696845,0.2984773749994929
10,100,12,1,gaussian,lbfgs_smooth,0.0,True,0.9166666666666666,0.5,0.5821428571428572,0.2605633802816901,0.006344821698936798,0.2994482499998412
10,100,12,1,gaussian,lbfgs_smooth,0.05,True,0.9166666666666666,0.5,0.5839285714285715,0.2676056338028169,0.00634201103826193,0.2291660829941975
10,100,12,1,student_t,lbfgs_smooth,0.0,True,0.9166666666666666,0.5,0.7089285714285715,0.5633802816901409,0.00539135446786787,0.27129412500653416
10,100,12,1,student_t,lbfgs_smooth,0.05,True,0.9166666666666666,0.5,0.7035714285714286,0.5563380281690141,0.0053827509064827694,0.2738201250031125
10,100,12,1,gaussian,admm,0.0,True,0.9166666666666666,0.5,0.6625,0.5528169014084507,0.004070521349392564,0.30588575000001583
10,100,12,1,gaussian,admm,0.05,True,0.9166666666666666,0.5,0.8089285714285714,0.4119718309859155,0.004402457454231623,0.32671937500708736
10,100,12,1,student_t,admm,0.0,True,0.9166666666666666,0.5,0.9892857142857143,0.6408450704225352,0.003353210592901945,0.32892858300328953
10,100,12,1,student_t,admm,0.05,True,0.9166666666666666,0.5,0.8571428571428571,0.4471830985915493,0.003777791774542294,0.3004022079985589
11,100,12,1,gaussian,lbfgs_smooth,0.0,True,0.7450980392156863,0.5,0.46964285714285714,0.4119718309859155,0.006823433198942297,0.27037291700253263
11,100,12,1,gaussian,lbfgs_smooth,0.05,True,0.7450980392156863,0.5,0.4767857142857143,0.40492957746478875,0.006853694362085605,0.2712843750050524
11,100,12,1,student_t,lbfgs_smooth,0.0,True,0.7450980392156863,0.5,0.3964285714285714,0.4225352112676056,0.0064739478827142705,0.2898419580014888
